naics,avg_approval_rate,total_cases,employer_rows,avg_total_cases,avg_log_petitions,avg_initial_share,avg_continuation_share,industry_mean_rate,industry_std,industry_cv,industry_employer_count,industry_total_cases,high_risk_share,risk_tier,label
11,0.9367619249768446,1232,632,1.9493670886075949,0.8446861775702678,0.45446126573529344,0.49015898742926356,0.941480352303523,0.2220860144726456,0.23589022747980556,476.0,1007.0,1.0,High,"Agriculture, Forestry, Fishing and Hunting"
21,0.9750635829889315,3119,1073,2.906803355079217,1.024136135221096,0.45573532608533923,0.5284212442781276,0.9727832085201107,0.1436010284210183,0.1476187367990013,757.0,2288.0,0.0,Low,"Mining, Quarrying, and Oil and Gas Extraction"
22,0.9778284946833807,6390,1966,3.250254323499491,1.1308365637514237,0.46446206103128446,0.5202785289992343,0.9765884047527572,0.1384042011370241,0.14172214257659937,1356.0,4468.0,0.0,Low,Utilities
23,0.9671507896853111,13873,7005,1.9804425410421127,0.896312758269629,0.539371720784919,0.4332192856390638,0.9648279002804891,0.1747481613222857,0.1811184785094668,4781.0,9333.0,0.0,Low,Construction
31,0.9761934149090394,100726,17874,5.634705750727232,1.0904708092562545,0.5946173670263778,0.38860035505909984,0.9781588458533149,0.1326675281070743,0.1356298403572063,8329.0,47055.0,0.0,Low,"Manufacturing (Food, Textile, Apparel)"
32,0.97129981295069,16852,4544,3.7086267605633805,1.1230578074933983,0.2619771303665398,0.7188767428728968,0.97129981295069,0.1472695241188264,0.1516210774008486,4544.0,16852.0,0.0,Low,"Manufacturing (Wood, Paper, Chemical)"
33,0.9707680517814817,98145,11864,8.27180783817952,1.1549669474615054,0.2760897517349828,0.7035984067142376,0.9707680517814816,0.1495032807129058,0.1540051513217276,11865.0,98145.0,0.0,Low,"Manufacturing (Metal, Machinery, Electronics)"
42,0.9630199080191947,22314,8805,2.5339541221894164,0.9091932850216061,0.49292002219256026,0.47630550585649717,0.9602872434686237,0.185437627911743,0.1931064159947908,6094.0,16200.0,0.0,Medium,Wholesale Trade
44,0.9539852539848518,38878,6183,6.287886139414524,1.0380134227976545,0.497707317573971,0.46282963859617293,0.9546234554541452,0.1978133817426632,0.20721613387192223,4029.0,24060.0,1.0,High,Retail Trade
45,0.9595488269487508,60726,1473,41.22606924643585,1.3605712267306438,0.27250499312419046,0.6983028819606704,0.9595488269487508,0.1768628835411691,0.18431879501491516,1473.0,60726.0,0.0,Medium,"Retail Trade (Sporting, Hobby, General)"
48,0.9544549958337316,10103,2638,3.829795299469295,1.03350743817488,0.5573637734896978,0.4058659459947601,0.9537222219575496,0.1951155285747262,0.20458318374321244,1697.0,6739.0,1.0,High,Transportation and Warehousing
49,0.9335544883229473,1693,324,5.2253086419753085,1.0823063221227391,0.3731285446819565,0.571315899762488,0.9335544883229472,0.23448944050505602,0.2511791689056058,324.0,1693.0,1.0,High,"Transportation and Warehousing (Postal, Courier)"
51,0.9684373491671981,169376,17480,9.688593982381878,1.1710858383398184,0.44386552867285883,0.5337686092976252,0.9674367013361023,0.1590137446072237,0.1643660452281931,12701.0,129440.0,0.0,Low,Information
52,0.9785175525564622,176239,19346,9.109370961906238,1.280238150313004,0.4169882348837347,0.5693662386780578,0.9788141966046647,0.1232144180425867,0.1258813148297153,14038.0,129217.0,0.0,Low,Finance and Insurance
53,0.9569947393865919,7149,3147,2.2716873212583413,0.8919408447010291,0.5015420264209527,0.46286852330894884,0.9514458959475764,0.20280214735137872,0.21315152886271202,2178.0,5207.0,1.0,High,Real Estate and Rental and Leasing
54,0.9603235489819857,929427,127629,7.281399830779355,1.2550188429603373,0.5423251422067068,0.43418765902170975,0.9591103956104026,0.166490650684372,0.1735886207118139,91064.0,736081.0,0.0,Medium,"Professional, Scientific, and Technical Services"
55,0.965209329733851,15851,1096,14.462591240875913,1.10651197566954,0.4678099195572403,0.5020805913916648,0.958812057044392,0.1881476423238003,0.1962299503239238,745.0,12816.0,0.0,Medium,Management of Companies and Enterprises
56,0.9565558276094407,21849,4604,4.745655951346655,1.1079300323259083,0.5125709431089192,0.45506589442366124,0.954815260435532,0.1888790957324035,0.1978174245416309,3232.0,15736.0,0.0,Medium,Administrative and Support Services
61,0.9577578029853563,134055,16445,8.151717847370021,1.3411159216756692,0.5589588589642268,0.4130691130637453,0.9578530682192274,0.1742336548463077,0.1819001897339334,11934.0,98624.0,0.0,Medium,Educational Services
62,0.967001782481171,85640,25874,3.30975845410628,1.0419651075694663,0.5053128006629731,0.47022343122108484,0.9696422213270972,0.1561631959642083,0.1610523887362043,18750.0,62750.0,0.0,Low,Health Care and Social Assistance
71,0.9473837096234567,2630,1439,1.8276580958999304,0.8721613710981417,0.5461828017994645,0.40725708701221025,0.957180698978074,0.19297632193879627,0.20160908190566917,992.0,1846.0,0.0,Medium,"Arts, Entertainment, and Recreation"
